,cheveux,age,exp,salaire,sexe,diplome,specialite,note,dispo,embauche
2459,blond,35,7,35573,F,bac,forage,60.11,non,0
2460,roux,56,5,27404,F,licence,geologie,87.54,non,0
2461,roux,15,12,32785,F,bac,detective,48.99,non,0
2462,brun,31,8,39300,M,licence,forage,50.59,non,0
2463,roux,46,6,39021,M,bac,geologie,58.94,non,0
2464,brun,38,10,45786,F,licence,archeologie,63.6,oui,0
2465,chatain,45,8,36540,M,licence,geologie,51.85,non,0
2466,blond,43,6,33492,M,licence,geologie,58.3,non,0
2467,brun,34,12,34144,F,master,geologie,87.93,non,0
2468,chatain,46,8,36488,M,master,geologie,79.81,non,0
2469,blond,49,8,36634,M,licence,geologie,71.66,non,0
2470,blond,29,7,37417,M,licence,geologie,64.77,non,0
2471,blond,45,9,40261,M,licence,geologie,47.51,oui,1
2472,chatain,31,13,33695,F,master,geologie,65.42,non,1
2473,roux,22,9,32349,M,bac,geologie,85.56,non,0
2474,blond,35,8,43044,M,licence,geologie,54.72,non,0
2475,brun,17,9,36233,M,licence,geologie,75.39,non,0
2476,brun,47,8,30507,F,doctorat,forage,107.86,oui,0
2477,chatain,44,9,31376,F,licence,forage,58.84,non,1
2478,roux,41,12,36704,M,master,geologie,115.11,oui,1
2479,chatain,24,15,36902,F,licence,detective,72.9,non,0
2480,chatain,33,11,36080,F,master,forage,87.75,oui,0
2481,blond,27,12,29492,M,master,detective,69.39,non,0
2482,blond,43,7,33179,F,licence,geologie,85.07,non,0
2483,blond,39,8,28878,M,master,geologie,85.83,oui,0
2484,blond,26,7,30200,M,licence,geologie,88.43,non,0
2485,brun,34,7,31167,M,licence,geologie,47.58,non,0
2486,roux,23,5,32568,M,master,detective,98.58,oui,0
2487,brun,23,9,34957,M,master,geologie,79.39,oui,0
2488,chatain,29,5,37670,F,licence,forage,43.65,non,0
2489,blond,52,11,44416,M,bac,forage,59.85,non,0
2490,chatain,28,8,31926,F,master,geologie,62.52,non,1
2491,brun,34,11,24439,F,master,geologie,88.59,non,0
2492,brun,30,8,16524,M,doctorat,detective,116.38,oui,0
2493,chatain,37,8,38262,M,master,geologie,70.11,non,0
2494,chatain,34,11,38743,M,master,detective,58.52,oui,0
2495,brun,29,10,31182,F,master,archeologie,88.93,oui,0
2496,chatain,43,11,36805,F,master,geologie,65.99,non,0
2497,brun,32,8,33391,F,master,geologie,86.86,non,0
2498,blond,37,17,29951,F,licence,geologie,110.91,non,0
2499,brun,23,8,36444,F,licence,detective,37.95,non,0
2500,brun,33,10,31875,F,master,detective,115.06,oui,0
2501,brun,27,8,26585,F,master,detective,84.83,non,0
2502,roux,41,11,37999,M,bac,geologie,70.25,non,0
2503,chatain,41,16,35432,M,doctorat,geologie,62.13,oui,0
2504,roux,44,15,39582,M,master,geologie,70.09,oui,1
2505,brun,41,5,38322,F,licence,geologie,86.6,non,0
2506,chatain,33,11,37557,M,master,forage,77.78,oui,0
2507,blond,20,14,35188,M,master,geologie,68.04,oui,0
2508,chatain,35,3,37391,M,master,geologie,57.49,non,0
2509,roux,35,7,33594,F,bac,detective,48.58,non,0
2510,brun,35,5,34681,M,doctorat,archeologie,83.4,oui,0
2511,blond,33,10,32405,F,licence,forage,87.11,non,0
2512,brun,22,10,34160,F,master,forage,84.43,non,0
2513,chatain,46,7,34219,M,doctorat,geologie,79.23,oui,0
2514,chatain,41,8,31392,F,master,archeologie,36.87,non,1
2515,blond,40,10,31019,M,licence,geologie,73.02,non,0
2516,blond,34,5,28514,F,licence,geologie,77.84,non,0
2517,brun,69,13,34598,F,bac,geologie,76.35,non,0
2518,brun,35,15,28277,F,licence,forage,73.15,non,0
2519,brun,44,14,26820,F,doctorat,geologie,121.74,oui,0
2520,brun,21,11,30023,F,master,detective,85.41,oui,0
2521,roux,24,9,34396,M,bac,geologie,62.72,non,0
2522,brun,50,3,40178,M,bac,geologie,47.49,non,0
2523,blond,20,13,28866,F,master,forage,83.09,non,0
2524,chatain,52,12,36933,M,licence,archeologie,62.46,non,1
2525,roux,37,12,27194,M,master,geologie,80.37,non,0
2526,blond,29,10,35205,F,licence,geologie,99,non,0
2527,brun,23,10,33676,M,licence,geologie,73.33,non,0
2528,brun,33,1,33226,M,master,geologie,68.25,non,0
2529,blond,36,14,36637,M,master,geologie,86.6,oui,1
2530,roux,30,13,32218,F,bac,detective,93.16,non,0
2531,brun,38,9,34959,F,master,forage,82.72,oui,0
2532,blond,40,12,30972,M,master,geologie,88.77,non,0
2533,blond,46,8,39334,F,bac,geologie,58.07,non,0
2534,roux,34,5,37309,M,bac,forage,57.9,non,0
2535,blond,26,4,32922,M,licence,forage,80.33,non,0
2536,blond,57,9,35887,M,licence,geologie,67.71,non,0
2537,blond,31,10,32799,M,master,forage,81.63,oui,0
2538,brun,30,11,24431,F,master,geologie,86.66,non,0
2539,blond,32,5,43046,M,master,geologie,93.76,oui,1
2540,roux,35,7,45119,M,bac,archeologie,47.45,non,0
2541,brun,41,11,32220,F,master,forage,91.82,oui,0
2542,brun,40,6,22870,F,master,geologie,98.62,non,0
2543,blond,64,19,38459,M,master,geologie,86.35,oui,1
2544,blond,35,8,33465,F,master,archeologie,95.13,oui,0
2545,brun,24,10,37834,M,master,detective,77.26,oui,0
2546,brun,40,13,31455,F,master,detective,90.04,oui,0
2547,brun,42,11,36446,M,licence,geologie,69.03,non,0
2548,chatain,35,5,43093,F,licence,archeologie,62.56,non,1
2549,chatain,40,8,36722,F,licence,detective,63.16,non,1
2550,brun,28,12,36811,M,master,forage,91.68,oui,0
2551,blond,32,13,42609,F,licence,detective,83,oui,0
2552,roux,32,8,33609,F,bac,geologie,80.21,non,0
2553,blond,37,8,36810,M,licence,geologie,69.32,non,0
2554,chatain,32,15,40743,M,master,geologie,48.35,oui,0
2555,chatain,21,9,36774,M,master,geologie,84.9,oui,0
2556,chatain,12,8,33588,F,master,geologie,81.75,non,0
2557,brun,47,8,33631,F,licence,forage,68.6,non,0
2558,chatain,24,13,40557,M,master,geologie,62.58,oui,0
2559,chatain,53,10,34117,F,master,geologie,55.13,non,1
2560,roux,30,15,31543,F,master,forage,52.88,non,0
2561,blond,43,4,32536,M,licence,geologie,71.5,non,0
2562,blond,39,11,34670,M,licence,geologie,62.34,non,0
2563,brun,28,10,33252,F,master,detective,94.21,non,0
2564,chatain,22,5,27831,F,doctorat,geologie,87.57,non,0
2565,brun,28,12,29234,F,master,geologie,97.83,non,0
2566,blond,51,13,41888,M,licence,forage,64.27,non,0
2567,blond,43,4,30891,M,licence,geologie,84.52,non,0
2568,blond,46,17,26789,M,licence,geologie,80.25,non,0
2569,blond,28,6,33228,M,licence,geologie,77.77,non,0
2570,blond,34,3,37801,M,master,geologie,66.26,oui,0
2571,blond,12,9,36467,M,bac,geologie,67.85,non,0
2572,blond,31,1,25102,F,licence,geologie,77.93,non,0
2573,roux,4,6,41193,M,bac,archeologie,105.85,oui,1
2574,blond,37,1,27452,M,master,forage,81.14,non,0
2575,blond,32,10,34259,M,licence,geologie,72.33,non,0
2576,brun,47,12,38576,M,licence,forage,77.09,oui,1
2577,brun,38,13,37638,M,licence,geologie,76.55,non,0
2578,brun,22,6,29534,M,master,geologie,65.95,non,0
2579,blond,30,7,38393,M,licence,forage,59.02,non,0
2580,chatain,31,9,31141,F,master,forage,77.67,oui,0
2581,chatain,31,0,35757,M,master,detective,59.02,oui,0
2582,brun,37,12,37372,M,master,geologie,78.08,oui,1
2583,roux,24,8,39442,M,licence,forage,86.65,oui,0
2584,blond,29,12,29722,M,master,forage,74.84,non,0
2585,brun,44,19,35158,F,licence,detective,65.63,non,0
2586,blond,36,5,38071,M,licence,forage,56.44,non,0
2587,brun,28,11,35283,F,licence,forage,66.43,non,0
2588,brun,41,10,29050,M,doctorat,geologie,83.54,oui,1
2589,chatain,45,5,38090,F,master,detective,81.22,oui,0
2590,blond,43,8,28200,M,doctorat,detective,100.73,oui,0
2591,brun,25,10,39502,M,master,geologie,82.56,oui,1
2592,chatain,35,8,38018,M,doctorat,forage,84.75,oui,0
2593,blond,45,6,40559,M,licence,geologie,56.21,non,0
2594,blond,36,11,27169,F,master,geologie,91.94,non,0
2595,brun,45,14,38885,M,master,geologie,70.9,oui,0
2596,chatain,23,12,36635,F,licence,forage,71.23,non,0
2597,brun,42,9,30871,M,doctorat,geologie,88.26,oui,1
2598,brun,33,11,46450,M,bac,geologie,61.22,non,0
2599,chatain,17,9,37193,F,doctorat,forage,77.67,oui,0
2600,chatain,44,10,37503,M,master,forage,67.02,oui,0
2601,blond,34,7,36662,M,licence,geologie,79.32,non,0
2602,brun,26,8,28771,F,master,forage,97.25,non,0
2603,chatain,53,14,33328,F,master,geologie,78.94,non,0
2604,brun,22,8,37563,F,bac,geologie,69.46,non,0
2605,roux,36,13,30705,F,licence,geologie,106.12,non,0
2606,brun,36,10,32377,M,master,geologie,88.16,non,0
2607,blond,22,12,34507,M,licence,geologie,76.54,non,0
2608,chatain,35,11,36640,F,master,detective,68.6,oui,0
2609,roux,29,11,39946,M,licence,geologie,67.88,oui,0
2610,roux,30,9,35265,M,bac,detective,48.71,non,0
2611,blond,28,5,37202,M,licence,geologie,71.38,oui,0
2612,brun,19,9,32158,M,master,geologie,84.29,oui,0
2613,blond,14,8,35516,M,master,geologie,67.92,oui,0
2614,brun,53,7,29372,F,licence,geologie,64.17,non,1
2615,blond,40,9,40952,M,licence,detective,56.19,non,0
2616,blond,21,7,34539,M,licence,detective,52.68,oui,0
2617,brun,45,9,37422,M,licence,geologie,67.26,non,0
2618,blond,43,5,33579,F,licence,detective,73.13,non,0
2619,roux,27,9,23171,M,doctorat,forage,120.31,oui,0
2620,blond,34,3,31331,M,master,forage,97.2,oui,0
2621,blond,23,8,41093,F,licence,forage,89.11,oui,1
2622,blond,44,11,40449,M,licence,archeologie,63.29,oui,0
2623,brun,32,10,39392,M,master,geologie,81.46,oui,0
2624,blond,37,14,42278,M,bac,forage,44.16,non,0
2625,brun,30,12,38768,M,licence,geologie,63.69,non,0
2626,blond,16,10,25072,F,licence,geologie,88.36,non,0
2627,roux,19,11,39165,M,licence,geologie,83.16,oui,0
2628,chatain,24,8,44656,F,doctorat,forage,81.02,oui,0
2629,blond,20,12,30592,M,licence,geologie,70.9,non,0
2630,blond,35,12,38496,M,bac,detective,57.97,non,0
2631,brun,38,6,38394,M,master,forage,61.63,oui,0
2632,chatain,36,8,35756,F,master,detective,72.01,non,0
2633,blond,33,6,34587,M,master,geologie,72.45,oui,0
2634,brun,33,6,32544,F,master,archeologie,76.92,oui,0
2635,chatain,32,14,40662,M,master,forage,89.5,oui,0
2636,blond,51,7,37305,M,licence,geologie,65.2,non,0
2637,brun,27,10,32565,F,master,detective,80.67,oui,0
2638,brun,41,7,41378,M,licence,geologie,100.27,oui,0
2639,chatain,24,14,37074,F,master,detective,87.86,non,0
2640,blond,39,3,35932,M,licence,forage,84.02,oui,0
2641,brun,34,8,37337,M,licence,geologie,70.29,non,0
2642,blond,41,13,34836,M,master,geologie,81.89,oui,1
2643,chatain,31,12,27080,F,doctorat,forage,102.69,oui,0
2644,brun,26,13,35527,M,master,detective,80.93,oui,0
2645,chatain,27,15,38858,M,master,detective,74.85,oui,0
2646,roux,32,5,43499,M,bac,forage,49.55,non,0
2647,roux,23,6,45518,M,bac,archeologie,106.41,oui,1
2648,roux,35,11,34090,M,licence,geologie,74.94,non,0
2649,brun,33,9,36040,F,licence,geologie,77.27,non,0
2650,blond,35,3,37810,M,licence,archeologie,66.86,oui,0
2651,blond,38,12,40249,M,licence,detective,85.03,oui,0
2652,roux,31,11,34399,M,bac,geologie,59.69,non,0
2653,chatain,41,9,42215,F,master,archeologie,68.6,oui,0
2654,chatain,28,6,31102,F,licence,detective,58.63,non,1
2655,chatain,40,17,28816,F,master,geologie,88.09,non,0
2656,blond,30,10,30487,M,licence,geologie,109.25,non,0
2657,roux,18,9,32767,M,licence,forage,53.85,non,0
2658,blond,46,9,40279,M,bac,geologie,53.12,non,0
2659,chatain,22,12,41785,F,licence,detective,50.36,non,0
2660,brun,37,9,40724,M,licence,forage,64.72,non,0
2661,brun,34,13,36149,M,doctorat,forage,90.84,oui,0
2662,chatain,34,9,42944,F,licence,detective,81.3,oui,0
2663,chatain,37,9,36410,F,licence,geologie,61.93,non,0
2664,blond,29,6,31657,M,master,geologie,94.55,oui,1
2665,chatain,35,5,38410,F,master,forage,80.56,oui,0
2666,blond,33,10,28263,M,licence,geologie,47.65,non,0
2667,chatain,33,10,31975,F,doctorat,archeologie,83.69,oui,0
2668,roux,42,10,23118,M,licence,geologie,81.94,non,0
2669,chatain,44,12,36455,F,licence,detective,50.31,non,1
2670,blond,33,10,32860,F,licence,geologie,91.82,non,0
2671,chatain,33,11,29883,F,doctorat,forage,106.32,oui,0
2672,blond,37,10,35106,M,licence,geologie,87.3,non,0
2673,chatain,31,13,32699,M,doctorat,geologie,82,oui,0
2674,chatain,41,9,29748,M,doctorat,forage,73.06,oui,0
2675,brun,18,13,31199,F,master,geologie,91.53,non,0
2676,blond,35,8,31149,F,bac,geologie,78.59,non,0
2677,blond,22,12,37920,F,bac,geologie,83.25,non,0
2678,chatain,32,11,33408,M,doctorat,geologie,54.4,non,0
2679,chatain,27,12,35292,F,master,archeologie,77.52,oui,0
2680,brun,15,11,31705,M,master,forage,90.23,oui,0
2681,blond,39,9,38234,M,licence,forage,89.3,oui,0
2682,roux,34,6,37159,M,bac,geologie,38.04,non,0
2683,brun,34,12,36873,M,doctorat,forage,100.84,oui,0
2684,blond,46,8,32981,M,bac,geologie,55.25,non,0
2685,brun,39,10,36354,F,licence,detective,74.9,oui,0
2686,blond,42,8,36518,M,master,detective,78.13,oui,0
2687,brun,31,10,37461,F,licence,geologie,73.82,non,0
2688,blond,40,16,29051,M,master,forage,37.95,oui,0
2689,chatain,49,9,36372,F,master,detective,78.94,oui,0
2690,chatain,35,10,35095,M,master,geologie,70.84,non,0
2691,blond,14,13,34488,F,licence,forage,64.56,non,0
2692,blond,30,6,33435,M,master,geologie,70.03,oui,0
2693,blond,32,7,37566,F,licence,archeologie,69.26,non,0
2694,brun,43,12,30875,M,doctorat,archeologie,83.75,oui,0
2695,blond,53,15,23450,F,master,forage,96.66,non,0
2696,brun,48,16,32684,F,licence,geologie,69.33,non,1
2697,roux,32,11,34454,M,licence,geologie,61.71,non,0
2698,brun,39,12,26101,M,master,geologie,85.52,non,0
2699,brun,32,9,29194,F,master,geologie,105.24,non,0
2700,brun,42,4,32345,M,licence,geologie,70.85,non,0
2701,blond,41,7,34132,M,licence,detective,70.57,non,0
2702,brun,37,10,29996,F,master,detective,76.57,non,0
2703,chatain,26,12,34858,M,master,geologie,75.02,non,0
2704,roux,40,9,29260,F,doctorat,geologie,92.22,non,0
2705,blond,37,14,35419,M,licence,detective,80.67,oui,0
2706,blond,15,11,36427,M,bac,detective,91.16,non,1
2707,chatain,35,10,34094,F,doctorat,geologie,91.66,oui,0
2708,brun,47,13,45138,M,licence,geologie,52.47,oui,0
2709,brun,45,10,40113,F,licence,geologie,78.54,non,0
2710,brun,32,10,23415,M,doctorat,geologie,82.87,non,0
2711,chatain,48,7,33044,F,licence,geologie,53.54,non,0
2712,brun,57,13,27442,F,bac,detective,75.09,non,0
2713,blond,20,11,33464,M,licence,geologie,89.07,non,0
2714,chatain,14,11,27143,F,doctorat,geologie,121.57,oui,0
2715,brun,21,8,37033,M,licence,geologie,53.78,non,0
2716,brun,35,10,32465,M,master,geologie,98.69,oui,0
2717,brun,22,7,31274,M,master,detective,80.35,non,1
2718,blond,30,15,38358,M,master,geologie,98.6,oui,0
2719,blond,49,15,31282,M,master,detective,83.64,oui,0
2720,roux,30,15,27235,F,bac,geologie,93.77,non,0
2721,roux,28,8,36564,F,bac,forage,56.17,non,0
2722,chatain,37,10,33191,F,doctorat,forage,113.39,oui,0
2723,blond,33,15,32285,M,licence,geologie,55.14,non,0
2724,blond,25,14,24557,M,master,geologie,90.64,non,0
2725,blond,28,8,31469,M,doctorat,detective,107.2,oui,0
2726,roux,27,12,24783,F,licence,detective,98.85,non,0
2727,chatain,35,8,30871,M,doctorat,geologie,97.48,oui,0
2728,blond,27,9,29280,M,master,geologie,103.49,oui,0
2729,blond,27,10,31634,M,master,geologie,79.78,oui,0
2730,brun,35,10,36788,M,master,detective,79.63,oui,0
2731,chatain,27,1,36323,M,doctorat,forage,99.43,oui,0
2732,chatain,31,14,30261,F,master,detective,72.38,non,0
2733,chatain,31,13,23549,M,doctorat,geologie,86.58,non,0
2734,chatain,28,10,41445,M,licence,forage,67.93,oui,0
2735,blond,48,12,35868,M,master,geologie,72.77,non,1
2736,chatain,38,5,25141,M,master,geologie,59.77,non,1
2737,chatain,36,11,29008,M,master,geologie,92.86,non,0
2738,brun,15,9,38538,M,licence,geologie,58.87,non,0
2739,brun,33,6,39414,M,master,detective,68.73,oui,0
2740,chatain,48,10,36209,F,master,archeologie,75.45,oui,0
2741,blond,41,10,25306,F,licence,geologie,81.1,non,0
2742,chatain,43,14,38434,F,bac,forage,47.37,non,0
2743,chatain,40,14,33550,M,doctorat,forage,106.8,oui,0
2744,chatain,40,9,40865,M,master,forage,51.42,oui,0
2745,blond,42,13,26609,F,licence,geologie,79.66,non,0
2746,brun,40,9,39457,F,bac,detective,55.11,non,0
2747,chatain,42,14,29057,F,doctorat,archeologie,98.82,oui,0
2748,brun,45,8,37940,M,master,geologie,80.81,oui,0
2749,blond,30,12,36617,M,licence,forage,59.4,non,0
2750,chatain,42,12,47445,M,master,forage,70.61,oui,0
2751,chatain,41,11,30027,M,master,geologie,91.76,non,0
2752,brun,40,9,40875,M,licence,detective,60.71,oui,0
2753,chatain,26,9,36506,F,master,geologie,70.67,non,0
2754,roux,17,8,37475,M,licence,geologie,90.65,oui,1
2755,chatain,35,8,37407,F,master,detective,78.23,non,0
2756,brun,27,7,29950,F,licence,forage,67.64,non,1
2757,chatain,35,8,36579,M,master,detective,63.56,oui,1
2758,brun,12,11,38606,M,bac,geologie,58.81,non,0
2759,blond,34,9,36205,M,licence,detective,90.84,oui,1
2760,chatain,24,10,44140,F,licence,detective,79.04,oui,0
2761,blond,18,10,23641,F,licence,geologie,68.28,non,0
2762,brun,35,7,36005,F,licence,geologie,73.7,non,0
2763,chatain,42,7,37853,F,master,forage,62.89,non,0
2764,chatain,39,14,28357,F,doctorat,geologie,112.55,oui,0
2765,blond,51,7,33859,M,master,forage,96.15,oui,0
2766,chatain,64,10,35381,M,doctorat,geologie,98.14,oui,0
2767,chatain,30,10,32986,F,doctorat,detective,95.99,oui,0
2768,blond,35,8,26836,M,doctorat,geologie,100.92,oui,0
2769,brun,34,9,34867,F,licence,geologie,69.76,non,0
2770,brun,53,12,39660,M,licence,geologie,53.79,non,0
2771,brun,48,4,33224,M,master,forage,71.12,oui,0
2772,blond,35,13,31300,M,master,geologie,82.57,non,1
2773,roux,42,7,30526,F,licence,forage,90.87,non,0
2774,brun,25,11,33917,F,licence,detective,72.18,non,0
2775,blond,49,8,38100,M,licence,geologie,58.37,non,0
2776,chatain,38,11,29614,M,master,detective,61.17,non,1
2777,chatain,47,9,27493,F,doctorat,forage,97.44,non,0
2778,roux,37,5,38026,M,licence,forage,67.1,non,0
2779,blond,26,7,31125,F,master,archeologie,76.45,oui,0
2780,chatain,41,12,36123,F,doctorat,forage,94.35,oui,0
2781,chatain,34,7,24986,F,doctorat,forage,106.25,oui,0
2782,chatain,46,10,30534,F,master,forage,93.3,oui,0
2783,chatain,35,4,30829,F,master,forage,85.8,non,0
2784,brun,35,13,35677,F,master,detective,81.68,oui,0
2785,brun,33,10,25568,M,doctorat,geologie,108.95,oui,0
2786,brun,31,10,37156,F,master,archeologie,89.47,oui,0
2787,brun,25,6,33515,F,master,forage,95.86,non,0
2788,blond,50,5,37185,M,licence,forage,56.63,non,0
2789,blond,38,11,28232,F,master,forage,99.15,non,0
2790,blond,31,9,27528,F,master,forage,83.71,non,0
2791,chatain,21,14,21095,M,doctorat,geologie,75.51,non,0
2792,chatain,32,7,37803,M,doctorat,geologie,56.17,oui,0
2793,brun,27,11,40313,M,licence,geologie,55.07,non,0
2794,blond,48,12,33641,F,licence,forage,80.14,non,0
2795,blond,25,7,33053,M,master,geologie,94.18,oui,1
2796,brun,42,8,38019,M,licence,geologie,65.9,non,0
2797,blond,42,15,39038,M,licence,geologie,45.11,oui,0
2798,blond,27,11,42056,M,licence,detective,94.47,oui,1
2799,blond,50,8,36592,F,licence,detective,70.81,non,0
2800,chatain,25,5,27042,F,master,geologie,81.86,non,0
2801,blond,35,13,29819,M,master,geologie,101.63,non,0
2802,chatain,25,15,37856,F,master,forage,84.54,non,0
2803,blond,40,3,36573,M,licence,geologie,68.74,oui,0
2804,brun,43,12,42950,F,bac,geologie,67.89,non,0
2805,blond,50,5,33434,M,licence,forage,86.92,non,0
2806,chatain,50,11,36660,F,master,forage,78.22,non,0
2807,blond,43,11,40088,M,master,forage,51.39,oui,0
2808,blond,56,6,36157,M,licence,geologie,73.73,non,0
2809,brun,36,9,32338,M,licence,geologie,80.87,non,0
2810,brun,43,11,34034,M,licence,geologie,69.48,non,0
2811,brun,40,10,37371,F,master,geologie,68.44,oui,1
2812,brun,25,13,28823,M,master,geologie,101.54,non,0
2813,chatain,47,12,37432,F,licence,forage,63.46,non,0
2814,blond,24,14,30712,F,licence,detective,77.07,non,0
2815,blond,25,12,37752,M,licence,geologie,42.77,non,0
2816,brun,38,8,30921,M,master,geologie,62.35,non,0
2817,brun,33,12,30596,F,licence,geologie,78.85,non,1
2818,chatain,34,14,29695,F,master,geologie,102.53,non,0
2819,brun,67,6,27992,M,doctorat,geologie,98.51,oui,0
2820,brun,51,8,36706,M,licence,geologie,74.47,non,0
2821,chatain,38,5,35551,F,master,forage,98.58,non,0
2822,chatain,27,9,26949,F,master,geologie,82.75,non,0
2823,brun,47,6,40516,M,master,detective,86.67,oui,0
2824,chatain,20,11,30699,M,doctorat,geologie,86.69,non,0
2825,chatain,16,9,23569,F,master,detective,28.14,non,1
2826,brun,17,14,24258,F,master,forage,93.09,non,0
2827,blond,41,8,36517,M,bac,geologie,70.31,non,0
2828,blond,43,11,27778,F,master,forage,106.55,non,0
2829,brun,42,6,40962,F,licence,detective,73.3,non,1
2830,chatain,41,9,35368,F,master,detective,66.61,oui,0
2831,brun,27,8,25330,M,master,geologie,74.52,non,1
2832,brun,39,9,41060,M,licence,geologie,66.56,non,0
2833,chatain,29,9,41134,F,licence,detective,58.08,oui,0
2834,roux,36,11,35894,M,bac,forage,66.73,non,0
2835,chatain,38,12,37769,F,licence,geologie,60.29,non,0
2836,brun,40,4,35781,M,licence,geologie,63.24,non,0
2837,chatain,21,11,33054,F,doctorat,detective,73.56,oui,0
2838,chatain,41,16,36256,F,licence,geologie,60.1,non,0
2839,chatain,35,6,38511,F,licence,detective,87.41,non,0
2840,roux,20,11,36086,M,bac,geologie,67.86,non,0
2841,chatain,35,9,29869,M,doctorat,geologie,69.4,oui,0
2842,blond,38,13,41801,M,bac,geologie,48.18,non,0
2843,roux,34,9,41671,M,bac,geologie,74.76,non,0
2844,brun,41,7,34514,F,master,detective,85.64,oui,0
2845,blond,48,9,33773,M,master,geologie,85.55,oui,1
2846,chatain,39,5,44135,M,licence,forage,62.29,oui,0
2847,chatain,33,6,33927,M,master,geologie,81.36,oui,0
2848,blond,27,9,30677,M,master,geologie,80.96,non,0
2849,brun,40,14,44654,F,licence,geologie,69.94,oui,1
2850,chatain,26,8,35947,F,master,forage,85.48,non,0
2851,brun,45,10,35515,M,licence,geologie,49.2,non,0
2852,chatain,43,12,43429,M,licence,detective,68.17,oui,0
2853,blond,52,11,32532,F,licence,geologie,68.24,non,0
2854,chatain,25,14,35623,F,master,geologie,57.46,non,0
2855,blond,34,9,39883,F,bac,archeologie,71.42,non,1
2856,brun,41,5,41160,F,licence,detective,72.55,oui,0
2857,chatain,28,4,31760,F,doctorat,forage,93.55,oui,0
2858,blond,35,11,30462,M,master,geologie,51.78,non,0
2859,brun,37,9,33337,M,master,detective,75.12,oui,0
2860,chatain,34,9,39328,F,master,geologie,95.05,oui,1
2861,roux,56,10,31401,M,licence,detective,72.59,oui,0
2862,brun,26,10,34588,M,master,geologie,79.43,oui,1
2863,chatain,17,8,33260,M,doctorat,geologie,76.53,non,0
2864,chatain,38,7,38738,F,licence,detective,56.74,non,1
2865,brun,41,6,33296,F,licence,forage,82.04,non,0
2866,brun,49,10,37830,F,licence,forage,78.26,non,0
2867,chatain,23,12,34682,F,master,geologie,87.88,non,0
2868,chatain,42,9,28677,M,doctorat,archeologie,119.09,oui,0
2869,brun,15,10,34086,M,licence,detective,78.8,non,1
2870,chatain,39,8,37271,M,master,forage,64.31,non,1
2871,chatain,34,7,40704,F,master,detective,91.77,oui,0
2872,chatain,33,8,37837,M,master,detective,78.07,oui,0
2873,chatain,24,9,32784,M,master,geologie,71.42,non,0
2874,brun,50,11,32296,F,master,geologie,68.5,non,0
2875,roux,30,8,30880,F,bac,geologie,78.32,non,0
2876,blond,15,10,37554,M,licence,geologie,98.14,oui,0
2877,blond,35,5,33484,M,licence,geologie,61.46,non,0
2878,brun,47,13,36896,F,licence,forage,85.35,non,0
2879,brun,24,11,43934,M,bac,geologie,47.05,non,0
2880,brun,23,14,40071,M,licence,forage,57.16,non,0
2881,blond,57,8,28352,F,master,detective,96.67,oui,0
2882,brun,37,9,34232,M,master,geologie,49.55,non,0
2883,blond,44,8,34777,F,licence,geologie,73.92,non,1
2884,chatain,24,7,31135,F,master,geologie,83.49,non,0
2885,chatain,34,9,43632,F,master,detective,78.41,oui,0
2886,chatain,37,11,37581,F,master,forage,81.04,oui,0
2887,chatain,27,6,40099,F,master,archeologie,97.14,oui,0
2888,blond,40,11,26730,F,doctorat,archeologie,109.81,oui,0
2889,chatain,35,7,32324,F,master,forage,76.51,non,0
2890,brun,50,6,25830,F,master,forage,90.99,non,0
2891,brun,35,9,28498,M,master,geologie,68.07,non,0
2892,chatain,33,10,34598,M,master,detective,62.17,non,1
2893,roux,43,10,31929,M,licence,detective,58.98,non,0
2894,blond,21,13,24038,M,master,geologie,103.36,non,1
2895,blond,30,7,29209,M,doctorat,detective,112.12,oui,1
2896,brun,43,10,27222,M,doctorat,detective,97.93,oui,0
2897,brun,40,11,30995,M,master,geologie,55.63,non,0
2898,chatain,20,15,43608,M,master,geologie,33.45,non,0
2899,blond,42,9,38646,F,licence,detective,89.34,oui,0
2900,brun,22,4,33334,M,master,forage,91.53,oui,0
2901,roux,35,10,37049,M,bac,geologie,62.6,non,0
2902,brun,34,8,37681,M,licence,geologie,66.61,non,0
2903,chatain,26,8,33789,F,master,geologie,98.76,non,0
2904,brun,43,6,34832,M,master,forage,72.85,non,0
2905,blond,41,7,29971,F,master,detective,121.08,oui,0
2906,brun,38,4,35061,F,master,geologie,70.74,non,1
2907,blond,47,15,37222,M,licence,geologie,50.93,non,1
2908,brun,40,10,27904,F,doctorat,archeologie,116.69,oui,0
2909,blond,35,6,36822,M,licence,detective,77.36,oui,0
2910,blond,26,9,37808,M,bac,geologie,73.67,non,0
2911,brun,43,10,35259,F,master,geologie,92.05,non,0
2912,roux,35,7,29767,M,bac,geologie,75.26,non,0
2913,chatain,41,9,26906,F,doctorat,forage,101.88,oui,0
2914,brun,37,8,33000,F,licence,geologie,73.91,non,0
2915,chatain,24,11,32829,F,doctorat,detective,82.34,oui,0
2916,blond,31,12,39619,M,licence,detective,48.3,non,0
2917,chatain,31,8,37849,F,licence,forage,58.86,non,0
2918,blond,35,12,29622,M,master,geologie,96.6,non,0
2919,chatain,23,16,41614,F,master,detective,71.91,oui,0
2920,brun,42,8,37932,M,licence,detective,64.93,oui,0
2921,roux,47,10,46921,M,bac,forage,26.79,non,0
